Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jun 1, 2025 12:00 AM;Jun 1, 2025 1:00 AM;38,262.75;38,295.25;32.50;28,986.50
Jun 1, 2025 1:00 AM;Jun 1, 2025 2:00 AM;36,440.75;36,695.25;254.50;25,348.00
Jun 1, 2025 2:00 AM;Jun 1, 2025 3:00 AM;35,037.75;35,421.50;383.75;22,529.75
Jun 1, 2025 3:00 AM;Jun 1, 2025 4:00 AM;34,964.75;35,688.00;723.25;20,984.75
Jun 1, 2025 4:00 AM;Jun 1, 2025 5:00 AM;35,543.75;36,244.50;700.75;21,999.75
Jun 1, 2025 5:00 AM;Jun 1, 2025 6:00 AM;35,091.25;35,933.00;841.75;20,910.25
Jun 1, 2025 6:00 AM;Jun 1, 2025 7:00 AM;35,983.75;37,136.50;1,152.75;19,633.50
Jun 1, 2025 7:00 AM;Jun 1, 2025 8:00 AM;37,694.25;38,978.00;1,283.75;17,826.75
Jun 1, 2025 8:00 AM;Jun 1, 2025 9:00 AM;40,562.25;43,943.50;3,381.25;17,682.75
Jun 1, 2025 9:00 AM;Jun 1, 2025 10:00 AM;43,440.50;47,048.75;3,608.25;16,990.50
Jun 1, 2025 10:00 AM;Jun 1, 2025 11:00 AM;44,513.25;48,198.75;3,685.50;12,878.75
Jun 1, 2025 11:00 AM;Jun 1, 2025 12:00 PM;45,062.25;48,833.00;3,770.75;9,309.75
Jun 1, 2025 12:00 PM;Jun 1, 2025 1:00 PM;44,936.25;49,786.25;4,850.00;5,924.00
Jun 1, 2025 1:00 PM;Jun 1, 2025 2:00 PM;43,844.00;48,870.00;5,026.00;2,114.50
Jun 1, 2025 2:00 PM;Jun 1, 2025 3:00 PM;42,175.50;47,246.75;5,071.25;571.00
Jun 1, 2025 3:00 PM;Jun 1, 2025 4:00 PM;42,473.00;47,539.00;5,066.00;1,810.25
Jun 1, 2025 4:00 PM;Jun 1, 2025 5:00 PM;42,716.50;48,016.25;5,299.75;5,582.75
Jun 1, 2025 5:00 PM;Jun 1, 2025 6:00 PM;45,024.00;49,079.50;4,055.50;9,760.50
Jun 1, 2025 6:00 PM;Jun 1, 2025 7:00 PM;46,796.75;49,204.50;2,407.75;15,918.00
Jun 1, 2025 7:00 PM;Jun 1, 2025 8:00 PM;46,524.25;47,163.00;638.75;22,449.50
Jun 1, 2025 8:00 PM;Jun 1, 2025 9:00 PM;45,702.75;45,886.25;183.50;28,538.75
Jun 1, 2025 9:00 PM;Jun 1, 2025 10:00 PM;45,522.50;45,549.25;26.75;31,859.00
Jun 1, 2025 10:00 PM;Jun 1, 2025 11:00 PM;44,692.25;44,833.25;141.00;32,112.75
Jun 1, 2025 11:00 PM;Jun 2, 2025 12:00 AM;42,322.75;42,671.50;348.75;29,863.75
Jun 2, 2025 12:00 AM;Jun 2, 2025 1:00 AM;40,144.50;40,601.00;456.50;28,701.00
Jun 2, 2025 1:00 AM;Jun 2, 2025 2:00 AM;38,873.75;39,134.75;261.00;27,543.25
Jun 2, 2025 2:00 AM;Jun 2, 2025 3:00 AM;38,401.25;38,961.50;560.25;27,084.25
Jun 2, 2025 3:00 AM;Jun 2, 2025 4:00 AM;38,716.50;39,092.00;375.50;27,190.00
Jun 2, 2025 4:00 AM;Jun 2, 2025 5:00 AM;39,699.75;39,950.75;251.00;28,130.50
Jun 2, 2025 5:00 AM;Jun 2, 2025 6:00 AM;42,982.75;43,290.50;307.75;30,526.00
Jun 2, 2025 6:00 AM;Jun 2, 2025 7:00 AM;50,315.00;50,339.00;24.00;36,323.00
Jun 2, 2025 7:00 AM;Jun 2, 2025 8:00 AM;55,695.25;55,697.25;2.00;38,863.00
Jun 2, 2025 8:00 AM;Jun 2, 2025 9:00 AM;58,367.00;58,403.25;36.25;37,070.50
Jun 2, 2025 9:00 AM;Jun 2, 2025 10:00 AM;59,085.50;59,680.50;595.00;31,768.25
Jun 2, 2025 10:00 AM;Jun 2, 2025 11:00 AM;59,406.00;62,319.25;2,913.25;25,839.50
Jun 2, 2025 11:00 AM;Jun 2, 2025 12:00 PM;60,073.75;64,027.00;3,953.25;22,090.50
