Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;3,920.75;1,968.50;5,679.25;29,583.75;3.25;142.00;0.00;3,391.75;1,860.75;2,893.25;489.50;1,589.75
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;3,884.50;1,981.75;5,345.75;29,493.00;3.00;141.50;0.00;3,372.75;1,854.75;2,824.50;415.75;1,538.25
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;3,869.00;2,002.00;5,188.50;29,573.50;3.00;141.00;0.00;3,373.50;1,828.75;2,852.25;403.75;1,531.75
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;3,844.00;2,010.50;4,674.25;29,037.50;3.25;141.00;0.00;3,393.00;1,817.50;2,874.25;325.50;1,549.00
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;3,849.50;2,032.75;4,439.25;28,970.00;3.00;141.00;0.00;3,393.75;1,832.75;2,857.00;177.75;1,515.75
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;3,886.75;2,040.25;4,624.75;29,096.75;3.25;140.00;0.00;3,399.25;1,831.50;2,895.25;180.00;1,507.00
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;3,945.75;1,952.50;4,285.25;29,083.25;3.25;139.25;0.00;3,435.00;1,835.00;2,884.50;148.25;1,502.50
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;4,049.00;1,948.25;3,897.25;29,672.00;4.00;140.00;0.00;3,420.25;1,848.25;2,867.75;152.50;1,491.75
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;4,149.50;1,972.00;3,856.50;30,346.00;425.25;139.25;0.00;3,418.00;1,835.00;2,870.00;25.75;1,492.25
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;4,149.25;1,975.75;3,231.50;30,440.25;3,217.50;139.25;0.00;3,414.50;1,816.25;2,837.25;143.00;1,486.25
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;4,074.25;1,997.25;3,470.00;30,315.25;6,342.50;139.00;0.00;3,488.50;1,859.50;2,849.00;61.75;1,549.75
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;4,026.00;2,062.50;3,573.25;30,266.25;8,136.50;139.25;0.00;3,390.75;1,891.75;2,773.50;94.75;1,572.00
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;3,968.00;2,023.50;3,296.00;30,406.75;7,771.50;139.75;0.00;3,388.75;1,910.50;2,810.50;128.25;1,581.75
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;3,955.25;1,934.75;3,278.50;29,770.75;6,366.00;138.00;0.00;3,401.50;1,913.75;2,760.75;77.00;1,535.25
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;3,993.75;1,925.50;3,304.25;28,508.50;4,199.25;138.00;0.00;3,568.50;1,915.75;2,809.50;587.25;1,518.50
