Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Apr 1, 2025 12:00 AM;Apr 1, 2025 1:00 AM;3,853.75;1,295.00;818.75;6,676.50;6.25;118.25;-;11,622.00;5,739.25;7,785.00;314.25;1,851.25
Apr 1, 2025 1:00 AM;Apr 1, 2025 2:00 AM;3,797.75;1,285.00;794.50;6,316.50;6.00;117.75;-;11,580.75;5,341.75;7,361.25;159.75;1,869.50
Apr 1, 2025 2:00 AM;Apr 1, 2025 3:00 AM;3,759.50;1,282.25;735.25;6,133.25;6.00;118.00;-;11,404.50;5,382.50;7,266.25;66.50;1,878.50
Apr 1, 2025 3:00 AM;Apr 1, 2025 4:00 AM;3,767.75;1,284.00;704.75;6,243.00;6.00;117.75;-;11,389.25;5,389.25;7,255.50;65.25;1,881.75
Apr 1, 2025 4:00 AM;Apr 1, 2025 5:00 AM;3,845.50;1,285.00;746.50;6,811.00;6.00;117.25;-;11,433.75;5,377.25;7,351.50;128.50;1,893.75
Apr 1, 2025 5:00 AM;Apr 1, 2025 6:00 AM;4,003.25;1,292.50;810.00;7,631.25;7.25;116.50;-;11,617.00;5,960.00;7,922.00;459.75;1,860.00
Apr 1, 2025 6:00 AM;Apr 1, 2025 7:00 AM;4,284.00;1,377.25;809.25;8,482.50;29.25;114.00;-;11,839.50;6,196.50;8,894.75;3,383.75;1,850.00
Apr 1, 2025 7:00 AM;Apr 1, 2025 8:00 AM;4,454.00;1,379.25;732.50;9,061.50;1,690.50;114.00;-;11,927.25;6,228.75;9,021.00;5,181.25;1,870.50
Apr 1, 2025 8:00 AM;Apr 1, 2025 9:00 AM;4,410.00;1,435.75;665.25;8,372.75;8,304.50;114.00;-;11,860.50;6,221.50;9,024.00;3,580.75;1,824.50
Apr 1, 2025 9:00 AM;Apr 1, 2025 10:00 AM;4,156.75;1,431.75;600.00;6,339.25;18,193.75;113.75;-;11,730.00;5,663.25;7,240.75;1,463.75;1,820.75
Apr 1, 2025 10:00 AM;Apr 1, 2025 11:00 AM;3,793.75;1,436.00;536.50;7,506.75;27,221.50;109.50;-;10,525.00;3,743.75;4,560.00;412.00;1,748.00
Apr 1, 2025 11:00 AM;Apr 1, 2025 12:00 PM;3,621.00;1,512.75;405.50;9,756.00;32,759.25;110.25;-;6,898.00;2,226.25;3,569.25;119.25;1,721.50
Apr 1, 2025 12:00 PM;Apr 1, 2025 1:00 PM;3,547.00;1,492.75;241.25;11,536.50;34,498.50;107.50;-;5,809.00;2,257.75;3,244.50;24.00;1,692.25
Apr 1, 2025 1:00 PM;Apr 1, 2025 2:00 PM;3,531.50;1,451.75;231.50;12,861.75;34,269.50;107.00;-;5,774.75;2,073.00;3,185.50;47.25;1,687.00
Apr 1, 2025 2:00 PM;Apr 1, 2025 3:00 PM;3,544.00;1,430.75;242.50;13,310.50;33,251.00;109.00;-;5,722.50;2,000.50;3,131.25;32.25;1,648.00
Apr 1, 2025 3:00 PM;Apr 1, 2025 4:00 PM;3,591.75;1,425.50;353.25;13,859.25;30,025.25;111.25;-;5,746.00;1,961.75;3,223.50;108.00;1,532.00
Apr 1, 2025 4:00 PM;Apr 1, 2025 5:00 PM;3,739.25;1,394.50;523.25;14,561.75;24,839.75;111.75;-;5,996.75;1,936.25;3,334.75;11.00;1,605.75
Apr 1, 2025 5:00 PM;Apr 1, 2025 6:00 PM;4,007.50;1,409.25;809.25;15,792.00;16,678.50;111.50;-;7,823.00;2,550.25;4,386.25;152.25;1,709.50
Apr 1, 2025 6:00 PM;Apr 1, 2025 7:00 PM;4,313.25;1,424.25;1,109.75;15,349.25;7,098.50;113.25;-;10,034.00;3,471.75;6,150.00;1,197.50;1,743.25
Apr 1, 2025 7:00 PM;Apr 1, 2025 8:00 PM;4,531.25;1,426.00;1,423.50;15,550.00;1,022.75;115.25;-;11,484.25;4,449.75;6,488.00;4,376.00;1,763.00
Apr 1, 2025 8:00 PM;Apr 1, 2025 9:00 PM;4,507.75;1,453.25;1,582.00;18,223.00;27.50;116.00;-;11,321.50;4,819.75;6,655.75;4,220.75;1,783.50
Apr 1, 2025 9:00 PM;Apr 1, 2025 10:00 PM;4,313.75;1,462.00;1,849.50;21,564.00;7.25;115.50;-;10,611.50;4,576.25;6,448.25;2,007.00;1,827.75
Apr 1, 2025 10:00 PM;Apr 1, 2025 11:00 PM;4,098.00;1,389.75;2,216.75;22,518.00;7.75;115.75;-;10,296.00;3,706.25;5,810.00;385.25;1,891.00
Apr 1, 2025 11:00 PM;Apr 2, 2025 12:00 AM;3,879.00;1,323.50;2,214.50;23,019.25;7.00;116.25;-;9,270.25;2,783.00;4,833.50;134.00;1,843.00
Apr 2, 2025 12:00 AM;Apr 2, 2025 1:00 AM;3,767.75;1,363.75;2,012.50;22,474.50;6.00;117.50;-;7,880.50;2,598.00;4,101.25;34.00;1,798.75
Apr 2, 2025 1:00 AM;Apr 2, 2025 2:00 AM;3,713.25;1,368.00;1,661.25;21,344.50;6.25;118.25;-;7,182.00;2,567.50;4,085.75;1.75;1,798.50
Apr 2, 2025 2:00 AM;Apr 2, 2025 3:00 AM;3,701.25;1,246.00;1,630.50;20,318.75;6.75;119.50;-;7,047.50;2,617.00;4,035.25;46.50;1,793.50
Apr 2, 2025 3:00 AM;Apr 2, 2025 4:00 AM;3,715.50;1,288.00;1,618.25;19,887.00;6.00;119.00;-;7,149.00;2,810.00;4,083.25;14.00;1,763.75
Apr 2, 2025 4:00 AM;Apr 2, 2025 5:00 AM;3,820.75;1,328.75;1,719.75;19,364.50;6.00;119.00;-;7,340.50;2,880.50;4,241.75;18.75;1,798.75
Apr 2, 2025 5:00 AM;Apr 2, 2025 6:00 AM;3,983.00;1,341.75;1,951.25;18,853.00;7.50;118.00;-;9,014.75;3,181.75;5,044.50;897.25;1,838.50
Apr 2, 2025 6:00 AM;Apr 2, 2025 7:00 AM;4,254.75;1,291.75;2,221.75;18,966.75;43.25;115.75;-;10,132.00;4,630.00;5,711.25;4,574.25;1,805.50
Apr 2, 2025 7:00 AM;Apr 2, 2025 8:00 AM;4,423.25;1,326.75;2,635.00;17,766.25;2,256.00;115.25;-;11,180.25;5,005.25;6,021.75;5,612.00;1,809.75
Apr 2, 2025 8:00 AM;Apr 2, 2025 9:00 AM;4,367.75;1,498.50;2,960.50;14,371.75;10,541.75;113.25;-;11,093.75;4,473.75;5,930.25;4,646.75;1,801.00
Apr 2, 2025 9:00 AM;Apr 2, 2025 10:00 AM;4,049.75;1,372.50;2,920.25;11,067.25;22,287.00;112.00;-;9,088.00;2,831.50;4,717.25;998.25;1,755.50
Apr 2, 2025 10:00 AM;Apr 2, 2025 11:00 AM;3,734.50;1,367.75;2,785.50;10,253.00;32,837.00;111.25;-;5,422.25;1,768.25;3,005.00;1.75;1,737.50
Apr 2, 2025 11:00 AM;Apr 2, 2025 12:00 PM;3,540.00;1,403.00;1,973.25;9,820.75;40,242.75;108.25;-;4,837.00;1,690.75;2,783.25;72.25;1,722.00
Apr 2, 2025 12:00 PM;Apr 2, 2025 1:00 PM;3,437.50;1,388.25;1,562.00;8,030.00;42,310.50;111.75;-;4,886.00;1,489.25;2,703.25;3.75;1,708.75
Apr 2, 2025 1:00 PM;Apr 2, 2025 2:00 PM;3,416.00;1,392.00;1,662.25;7,728.00;42,146.50;113.00;-;4,935.25;1,416.25;2,574.00;2.00;1,711.25
Apr 2, 2025 2:00 PM;Apr 2, 2025 3:00 PM;3,388.50;1,413.50;1,940.25;11,519.25;39,627.25;111.25;-;4,821.25;1,370.00;2,452.75;22.75;1,704.50
Apr 2, 2025 3:00 PM;Apr 2, 2025 4:00 PM;3,457.50;1,375.50;2,216.25;16,050.00;35,061.00;110.75;-;4,844.50;1,391.25;2,410.50;79.50;1,718.75
Apr 2, 2025 4:00 PM;Apr 2, 2025 5:00 PM;3,609.75;1,330.50;2,441.00;20,153.00;27,805.00;111.75;-;4,950.00;1,928.00;2,417.50;5.00;1,774.00
Apr 2, 2025 5:00 PM;Apr 2, 2025 6:00 PM;3,771.00;1,346.00;2,864.75;23,827.50;18,580.50;110.75;-;5,581.00;2,134.25;2,807.25;126.75;1,788.25
Apr 2, 2025 6:00 PM;Apr 2, 2025 7:00 PM;4,186.50;1,299.75;4,363.75;24,518.00;7,825.25;108.25;-;7,960.00;3,001.75;4,229.25;714.00;1,765.50
Apr 2, 2025 7:00 PM;Apr 2, 2025 8:00 PM;4,453.25;1,509.25;4,948.00;24,453.50;1,174.00;108.50;-;9,112.25;3,868.25;4,703.50;4,219.75;1,785.25
Apr 2, 2025 8:00 PM;Apr 2, 2025 9:00 PM;4,456.00;1,384.00;5,117.25;26,167.00;20.75;109.50;-;9,763.50;4,133.75;4,802.25;4,562.00;1,807.00
Apr 2, 2025 9:00 PM;Apr 2, 2025 10:00 PM;4,325.25;1,246.00;5,209.75;27,603.25;9.75;110.50;-;9,346.00;4,023.75;4,673.25;2,263.75;1,800.25
Apr 2, 2025 10:00 PM;Apr 2, 2025 11:00 PM;4,087.75;1,243.00;5,146.50;26,580.75;8.75;110.50;-;8,920.50;3,671.50;4,676.50;617.75;1,846.75
