Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;0.10;21.15;0.10;16.99;29.13;0.10;0.10;53.79;0.10;76.69;29.56;25.97;0.10;-;107.09;0.10;0.10
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;0.01;20.96;0.01;28.14;28.46;0.01;0.01;48.98;0.01;74.50;28.46;21.99;0.01;-;104.00;0.01;0.01
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;0.00;17.73;0.00;26.66;26.66;0.00;0.00;27.45;0.02;73.29;26.66;14.32;0.02;-;100.00;0.03;0.04
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;-0.01;14.59;-0.01;4.14;24.48;-0.01;-0.01;24.48;0.00;71.58;24.48;11.37;0.00;-;85.66;0.00;0.01
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;-0.03;14.23;-0.03;-0.03;24.01;-0.03;-0.03;24.01;-0.01;73.27;24.01;11.35;-0.01;-;85.00;0.00;0.01
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;-0.02;13.09;-0.02;-0.02;15.88;-0.02;-0.02;21.23;-0.01;74.32;21.23;11.39;-0.01;-;85.53;0.00;0.01
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;-0.05;13.54;-0.05;-0.05;15.87;-0.04;-0.05;22.62;0.00;76.69;22.62;11.34;0.00;-;95.07;0.02;0.04
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;-0.02;14.08;-0.02;-0.02;22.04;-0.01;-0.02;25.04;0.00;74.55;25.04;8.31;0.00;-;104.07;0.00;0.01
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;0.00;14.42;0.00;0.00;25.42;0.00;0.00;26.24;0.00;72.25;26.24;8.51;0.00;-;106.95;0.00;0.00
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;0.04;16.69;0.04;0.08;32.21;0.04;0.04;32.21;0.04;76.01;32.21;10.63;0.04;-;107.08;0.04;0.04
