Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Jun 1, 2025 12:00 AM;Jun 1, 2025 1:00 AM;92.53;87.24;103.76;92.53;92.54;60.00;98.40;74.05;91.87;95.79;73.30;85.49;91.87;-;125.00;93.45;100.68
Jun 1, 2025 1:00 AM;Jun 1, 2025 2:00 AM;85.22;78.31;81.28;85.22;85.22;36.07;85.22;69.19;84.94;94.59;70.43;83.97;85.29;-;124.44;85.05;85.16
Jun 1, 2025 2:00 AM;Jun 1, 2025 3:00 AM;77.13;73.29;79.63;77.13;77.13;28.27;86.56;68.38;73.04;90.38;70.49;76.03;79.10;-;120.00;73.97;80.71
Jun 1, 2025 3:00 AM;Jun 1, 2025 4:00 AM;74.09;69.84;74.48;74.09;74.09;24.32;80.60;62.40;69.66;92.07;72.28;70.46;73.77;-;118.00;69.76;73.56
Jun 1, 2025 4:00 AM;Jun 1, 2025 5:00 AM;72.66;68.55;72.74;72.66;72.66;24.95;78.53;62.41;67.71;96.72;64.52;69.80;71.34;-;120.00;67.44;70.28
Jun 1, 2025 5:00 AM;Jun 1, 2025 6:00 AM;66.11;62.58;65.83;66.11;54.59;24.92;70.66;52.95;62.25;105.10;54.68;66.11;65.15;-;116.50;61.95;63.64
Jun 1, 2025 6:00 AM;Jun 1, 2025 7:00 AM;35.84;43.49;36.16;35.84;34.98;26.68;37.45;35.75;34.73;105.69;34.98;60.70;35.45;-;104.51;34.42;34.96
Jun 1, 2025 7:00 AM;Jun 1, 2025 8:00 AM;13.00;22.32;13.00;13.00;9.41;13.00;13.00;14.37;13.00;98.76;9.23;35.80;13.00;-;101.93;13.00;13.00
Jun 1, 2025 8:00 AM;Jun 1, 2025 9:00 AM;2.40;5.35;2.40;2.40;2.17;2.40;2.40;2.89;2.40;28.36;2.14;8.88;2.40;-;97.13;2.40;2.40
Jun 1, 2025 9:00 AM;Jun 1, 2025 10:00 AM;-0.01;-0.05;-0.01;-0.01;0.22;-0.01;-0.01;0.62;-0.01;-0.01;0.21;-1.53;-0.01;-;90.00;-0.01;-0.01
Jun 1, 2025 10:00 AM;Jun 1, 2025 11:00 AM;-0.60;1.28;-0.60;-0.60;-0.60;-0.60;-0.60;22.71;-0.60;-0.60;-0.58;-3.22;-0.60;-;15.00;-0.60;-0.60
Jun 1, 2025 11:00 AM;Jun 1, 2025 12:00 PM;-2.11;-1.65;-2.11;-2.11;-2.06;-2.11;-2.11;7.00;-2.11;-2.11;-2.06;-6.29;-2.11;-;10.00;-2.11;-2.11
